# Query Group 1 Filters: diseases: Alzheimer disease | tissues: brain | cellTypes: neuron
# Query Group 2 Filters: diseases: normal | tissues: brain | cellTypes: neuron
Gene,Log Fold Change,Effect Size,Adjusted P-Value
RP11-357G3.2,-0.001,-0.022,0.000e+0
RP11-80H5.7,-0.001,-0.022,0.000e+0
RNU6-540P,-0.001,-0.022,0.000e+0
ADGRL3-AS1,-0.002,-0.022,9.359e-28
MKRN5P,-0.001,-0.022,0.000e+0
PDCD1LG2,-0.002,-0.022,8.109e-32
POTEJ,-0.001,-0.022,9.649e-162
NCF2,-0.002,-0.022,2.557e-52
RP11-421K1.1,-0.001,-0.022,0.000e+0
RP11-458I7.1,-0.001,-0.022,0.000e+0
ANGPTL2,-0.002,-0.022,1.127e-31
GRK5-IT1,-0.001,-0.022,0.000e+0
RP3-415N12.1,-0.001,-0.022,0.000e+0
RP11-573J24.2,-0.001,-0.022,0.000e+0
RP11-16E23.3,-0.001,-0.022,0.000e+0
AGAP2-AS1,-0.001,-0.022,4.500e-46
CTD-2620I22.1,-0.001,-0.022,0.000e+0
RPL10P19,-0.001,-0.022,0.000e+0
H2BP1,-0.001,-0.022,0.000e+0
ITPRIPL2,-0.001,-0.022,0.000e+0
RP11-589M4.1,-0.001,-0.022,1.304e-67
KLF4,-0.001,-0.022,9.393e-85
RP11-314N13.3,-0.001,-0.022,0.000e+0
SPATA5L1,-0.004,-0.022,1.704e-21
LINC00587,-0.002,-0.022,2.961e-35
AC022182.3,-0.001,-0.022,9.811e-75
KANSL2,-0.005,-0.022,3.790e-21
H2BC19P,-0.001,-0.022,0.000e+0
GJA3,-0.002,-0.022,2.079e-308
RP11-74C1.4,-0.001,-0.022,0.000e+0
RP11-798P24.2,-0.001,-0.022,0.000e+0
RPAIN,-0.008,-0.022,3.422e-19
PTPRE,-0.014,-0.022,2.684e-16
RP11-169I2.3,-0.001,-0.022,0.000e+0
FAM133CP,-0.001,-0.022,0.000e+0
COLEC12,-0.003,-0.022,4.653e-24
SNX29P2,-0.001,-0.022,0.000e+0
ODAD2P1,-0.001,-0.022,0.000e+0
GSTA4,-0.011,-0.022,4.395e-18
PPT2,-0.001,-0.022,0.000e+0
RP11-196H14.4,-0.001,-0.022,1.001e-50
CTC-479C5.12,-0.001,-0.022,2.548e-121
TLK2P1,-0.001,-0.022,0.000e+0
R3HDML,-0.001,-0.022,1.678e-57
KNSTRN,-0.003,-0.022,9.228e-26
RPL6P27,-0.001,-0.022,0.000e+0
KAT6B,-0.018,-0.022,2.490e-17
SLC7A5P2,-0.001,-0.022,0.000e+0
ZNF649,-0.003,-0.022,8.159e-27
RP11-174O3.3,-0.001,-0.022,0.000e+0
LINC01238_ENSG00000237940,-0.001,-0.022,6.146e-86
RN7SL388P,-0.001,-0.022,0.000e+0
RMRP_ENSG00000277027,-0.001,-0.022,0.000e+0
MCM2,-0.002,-0.022,2.678e-29
LINC02462,-0.001,-0.022,3.568e-79
MTMR7,-0.012,-0.022,4.067e-17
PINLYP,-0.002,-0.022,1.382e-26
CTB-50L17.8,-0.001,-0.022,0.000e+0
TTC7B,-0.015,-0.022,3.917e-16
CTD-3099C6.13,-0.001,-0.022,0.000e+0
RP11-84A14.4,-0.001,-0.022,0.000e+0
RP11-338N10.3,-0.001,-0.022,9.200e-80
AC079613.1,-0.001,-0.022,0.000e+0
RGS12,-0.017,-0.022,6.408e-16
SRY,-0.001,-0.022,0.000e+0
RP11-158O16.2,-0.001,-0.022,0.000e+0
GTSE1,-0.002,-0.023,3.095e-40
LCK,-0.002,-0.023,7.754e-40
RPL7P7,-0.001,-0.023,0.000e+0
RNU6-977P,-0.001,-0.023,0.000e+0
MIRLET7I,-0.001,-0.023,0.000e+0
AACSP1,-0.001,-0.023,0.000e+0
RP11-667F9.1,-0.001,-0.023,0.000e+0
PIGPP2,-0.001,-0.023,0.000e+0
NUP62CL,-0.002,-0.023,2.110e-49
BACH1-IT3,-0.001,-0.023,0.000e+0
LINC00941_ENSG00000285517,-0.001,-0.023,0.000e+0
RP11-40C6.2,-0.001,-0.023,0.000e+0
SRGAP3-AS4,-0.001,-0.023,0.000e+0
ZC3H12A,-0.001,-0.023,4.507e-119
RP11-445N18.7,-0.001,-0.023,0.000e+0
CPAMD8,-0.003,-0.023,1.923e-27
RP11-96D1.3,-0.001,-0.023,0.000e+0
SHPK,-0.001,-0.023,4.359e-202
LINC02336,-0.001,-0.023,0.000e+0
NPIPB7,-0.001,-0.023,1.048e-157
RP11-262H14.14,-0.001,-0.023,0.000e+0
STX18-IT1,-0.001,-0.023,0.000e+0
AC004237.1,-0.004,-0.023,1.319e-21
COMMD2,-0.006,-0.023,1.126e-20
RP11-425L10.1,-0.001,-0.023,0.000e+0
RP11-465I4.2,-0.004,-0.023,1.247e-20
RP11-681B3.4,-0.001,-0.023,0.000e+0
RP1-111C20.5,-0.001,-0.023,0.000e+0
TMSB4XP4,-0.001,-0.023,0.000e+0
SEMA3G,-0.001,-0.023,5.926e-274
RP4-702M17.1,-0.001,-0.023,0.000e+0
RP11-203F10.6,-0.001,-0.023,0.000e+0
LIME1,-0.001,-0.023,0.000e+0
NUDT8,-0.002,-0.023,1.518e-31
CLEC3B,-0.001,-0.023,0.000e+0
PAK2,-0.010,-0.023,1.998e-19
RP11-115D10.1,-0.001,-0.023,0.000e+0
HSPD1P13,-0.001,-0.023,0.000e+0
IL33,-0.002,-0.023,7.012e-48
RP11-729L2.2,-0.004,-0.023,6.447e-24
RP11-705C15.2,-0.001,-0.023,0.000e+0
THEM7P,-0.001,-0.023,0.000e+0
LINC01422,-0.001,-0.023,2.278e-58
RP11-382A20.8,-0.001,-0.023,0.000e+0
PDCD4-AS1,-0.001,-0.023,5.211e-212
RP11-463J10.3,-0.001,-0.023,1.006e-119
MIR770,-0.001,-0.023,0.000e+0
OSMR,-0.002,-0.023,2.059e-29
RPL7P21,-0.001,-0.023,0.000e+0
RP11-503N18.5,-0.001,-0.023,0.000e+0
RP5-882O7.1,-0.001,-0.023,0.000e+0
AC011753.5,-0.001,-0.023,0.000e+0
ZBTB47,-0.002,-0.023,9.537e-27
GTF2IRD2P1,-0.001,-0.023,0.000e+0
KRTCAP2,-0.003,-0.023,2.519e-23
LRRC42,-0.003,-0.023,4.872e-25
RP1-95L4.4,-0.001,-0.023,0.000e+0
RP11-120C12.4,-0.001,-0.023,0.000e+0
DNAH10,-0.004,-0.023,1.255e-25
TMEM140,-0.002,-0.023,3.327e-39
LINC00189,-0.001,-0.023,0.000e+0
RP11-562I5.2,-0.001,-0.023,0.000e+0
KCNRG,-0.002,-0.023,3.403e-53
CACNA2D1-AS1,-0.002,-0.023,8.797e-52
RP11-12G12.8,-0.001,-0.023,0.000e+0
RP11-536C2.2,-0.001,-0.023,0.000e+0
VDAC1P5,-0.001,-0.023,0.000e+0
SH3GL1P1,-0.001,-0.023,0.000e+0
HMGN2,-0.008,-0.023,2.503e-22
MCM4,-0.004,-0.023,6.100e-25
AP000462.3,-0.001,-0.023,8.745e-85
RNU6-196P,-0.001,-0.023,0.000e+0
CTD-2616J11.11,-0.001,-0.023,1.841e-182
CFAP206,-0.001,-0.023,6.589e-257
MYH6,-0.001,-0.023,2.173e-67
IRX3,-0.001,-0.023,0.000e+0
PTGDR,-0.002,-0.023,2.461e-52
CTXN2,-0.001,-0.023,4.632e-174
RP11-452L6.5,-0.001,-0.023,6.596e-55
NPPA,-0.002,-0.023,1.195e-42
RPL21P10,-0.001,-0.023,0.000e+0
RP11-618G20.1,-0.001,-0.023,0.000e+0
PPP2R2B-IT1,-0.001,-0.023,0.000e+0
ZSCAN16,-0.002,-0.023,8.820e-32
SNORD116-11,-0.001,-0.023,0.000e+0
TP53RK,-0.003,-0.023,3.114e-25
PADI1,-0.001,-0.023,4.146e-104
CTD-2313J17.1,-0.001,-0.023,0.000e+0
HOXB3,-0.001,-0.023,3.002e-287
RP11-335J9.1,-0.001,-0.023,0.000e+0
SDK1-AS1,-0.002,-0.023,2.914e-35
AGTR1,-0.001,-0.023,4.316e-106
AMOTL1,-0.007,-0.023,4.968e-20
AC006262.6,-0.001,-0.023,0.000e+0
RPL31P3,-0.001,-0.023,0.000e+0
ATXN8OS,-0.001,-0.023,6.227e-75
LEMD1-AS1,-0.001,-0.023,1.467e-61
RP11-428L21.1,-0.001,-0.023,1.827e-251
LINC00654,-0.002,-0.023,9.538e-41
EEF1DP7,-0.001,-0.023,0.000e+0
RP11-525K10.3,-0.004,-0.023,1.411e-25
MYL4,-0.001,-0.023,1.119e-79
CTD-2093G19.1,-0.001,-0.023,0.000e+0
RP11-902B17.1,-0.001,-0.023,9.435e-77
RNU4-36P,-0.001,-0.023,0.000e+0
CTD-2196E14.6,-0.001,-0.023,0.000e+0
ZNF736P9Y,-0.001,-0.023,0.000e+0
AC009487.5,-0.001,-0.023,0.000e+0
TMEM213,-0.002,-0.023,1.328e-34
UBE2D1,-0.007,-0.023,3.981e-21
OTOL1,-0.001,-0.023,7.202e-200
TMEM53,-0.004,-0.023,6.184e-26
SEMA6A-AS1,-0.005,-0.023,1.104e-23
MRPS31P2,-0.001,-0.023,0.000e+0
S1PR2,-0.001,-0.023,0.000e+0
CTD-3138B18.6,-0.001,-0.023,0.000e+0
RP11-783N9.1,-0.001,-0.023,0.000e+0
BZW1P2,-0.001,-0.023,0.000e+0
RP11-519H15.1,-0.001,-0.023,0.000e+0
TRIB2,-0.005,-0.023,6.255e-23
RP11-549L6.2,-0.001,-0.023,0.000e+0
GTF2IP20,-0.001,-0.023,0.000e+0
NFATC4,-0.002,-0.023,5.695e-38
SLC2A10,-0.002,-0.023,2.251e-67
COL4A4,-0.003,-0.023,1.896e-24
RENO1,-0.001,-0.023,0.000e+0
FSIP2,-0.003,-0.023,8.886e-27
CDCA2,-0.002,-0.023,1.575e-77
RP11-355O1.11,-0.001,-0.023,0.000e+0
HNRNPA1P72,-0.001,-0.023,0.000e+0
SNX4,-0.009,-0.023,1.787e-20
RP11-122D10.1,-0.001,-0.023,0.000e+0
MIR3682,-0.001,-0.023,0.000e+0
P2RX6P,-0.001,-0.023,0.000e+0
CTD-2335O3.4,-0.001,-0.023,0.000e+0
LINC01829,-0.003,-0.023,8.626e-27
RPL21P90,-0.001,-0.023,0.000e+0
KB-318B8.7,-0.001,-0.023,0.000e+0
LIN28A,-0.001,-0.023,1.148e-129
PKD1P4,-0.001,-0.023,0.000e+0
PSME1,-0.003,-0.023,2.179e-24
EMC4,-0.006,-0.023,5.536e-22
SCARNA3,-0.001,-0.023,0.000e+0
PRR11,-0.003,-0.023,1.511e-33
AP003025.2,-0.003,-0.023,1.889e-28
RP11-462P6.1,-0.001,-0.023,0.000e+0
RNU6-407P,-0.001,-0.023,0.000e+0
RP11-624L4.1,-0.010,-0.023,1.118e-18
EMCN,-0.004,-0.023,7.503e-26
RP11-22B23.1,-0.001,-0.023,0.000e+0
MYO1C,-0.003,-0.023,2.266e-27
LINC01179,-0.001,-0.023,3.782e-56
TMEM167A,-0.006,-0.023,1.355e-21
AC003099.2,-0.001,-0.023,0.000e+0
TTK,-0.002,-0.023,1.659e-63
LINC01915,-0.001,-0.023,6.705e-48
HEIH,-0.001,-0.023,0.000e+0
RN7SKP30,-0.001,-0.023,0.000e+0
C8orf86,-0.002,-0.023,1.015e-35
PGAM2,-0.002,-0.023,3.702e-31
BPIFB9P,-0.001,-0.023,0.000e+0
RP11-139I14.2,-0.001,-0.023,0.000e+0
NCKAP5-AS2,-0.002,-0.023,4.086e-32
LDLRAD2,-0.002,-0.023,9.278e-68
BTF3P3,-0.001,-0.023,0.000e+0
LINC00032,-0.001,-0.023,0.000e+0
CTD-2224J9.11,-0.001,-0.024,0.000e+0
FBXO36-IT1,-0.001,-0.024,0.000e+0
RNU6-729P,-0.001,-0.024,0.000e+0
PALD1,-0.004,-0.024,1.905e-29
LA16c-429E7.1,-0.001,-0.024,0.000e+0
RP11-441K8.1,-0.001,-0.024,0.000e+0
RPL7P60,-0.001,-0.024,0.000e+0
PPP1R9A-AS1,-0.004,-0.024,6.553e-23
RP11-767N6.7,-0.001,-0.024,0.000e+0
WAKMAR2,-0.002,-0.024,1.197e-39
RNU6-957P,-0.001,-0.024,0.000e+0
POC1B-GALNT4,-0.001,-0.024,0.000e+0
RPL23P2,-0.001,-0.024,0.000e+0
CADM2-AS1,-0.002,-0.024,1.369e-30
RP11-659O3.1,-0.001,-0.024,0.000e+0
SLPI,-0.002,-0.024,3.691e-76
SNORD63_ENSG00000206989,-0.001,-0.024,0.000e+0
NPM1P37,-0.001,-0.024,0.000e+0
CEACAMP5,-0.001,-0.024,0.000e+0
RN7SL558P,-0.001,-0.024,0.000e+0
GPRIN3,-0.009,-0.024,7.303e-20
RP11-453N18.1,-0.001,-0.024,0.000e+0
RP11-395N17.3,-0.001,-0.024,0.000e+0
RP11-171I2.1,-0.001,-0.024,0.000e+0
MID1IP1-AS1,-0.001,-0.024,1.320e-137
RP5-1096D14.6,-0.001,-0.024,0.000e+0
FRG1JP,-0.001,-0.024,0.000e+0
CTC-269P20.2,-0.001,-0.024,0.000e+0
MTND5P26,-0.001,-0.024,0.000e+0
DIP2C-AS1,-0.002,-0.024,4.239e-63
MIR221,-0.001,-0.024,0.000e+0
COL6A6,-0.004,-0.024,7.811e-26
EID3,-0.001,-0.024,0.000e+0
LINC02125,-0.001,-0.024,0.000e+0
ZNF888,-0.001,-0.024,0.000e+0
RP11-130L8.2,-0.001,-0.024,0.000e+0
CACNA1H,-0.003,-0.024,4.646e-29
CCDC14,-0.011,-0.024,4.134e-21
GYPA,-0.002,-0.024,4.267e-35
RP1-257A7.5,-0.001,-0.024,0.000e+0
RP11-646I6.3,-0.001,-0.024,0.000e+0
SH2D4B,-0.003,-0.024,8.604e-35
RP4-769N13.7,-0.002,-0.024,3.493e-32
RP11-247I13.11,-0.001,-0.024,0.000e+0
RPL21P7,-0.001,-0.024,0.000e+0
TPX2,-0.003,-0.024,3.174e-34
HSPB2,-0.001,-0.024,0.000e+0
VPS25,-0.004,-0.024,1.854e-26
RPS23P8,-0.001,-0.024,0.000e+0
ZNF71,-0.004,-0.024,4.783e-25
IGF2BP2-AS1,-0.001,-0.024,2.265e-74
AC072061.2,-0.001,-0.024,0.000e+0
METTL2A,-0.004,-0.024,9.952e-26
CTC-499B15.6,-0.001,-0.024,0.000e+0
MATN1-AS1,-0.001,-0.024,1.270e-82
RP11-460N20.4,-0.001,-0.024,0.000e+0
RPS7P15,-0.001,-0.024,0.000e+0
FGF11,-0.002,-0.024,1.964e-48
RN7SL737P,-0.001,-0.024,0.000e+0
PTPN21,-0.006,-0.024,7.688e-27
HPX,-0.002,-0.024,6.861e-41
COL1A1,-0.002,-0.024,6.541e-45
VIT,-0.003,-0.024,1.470e-32
METTL1,-0.001,-0.024,1.003e-79
ARRDC3,-0.007,-0.024,1.033e-22
RP11-178F10.1,-0.001,-0.024,0.000e+0
RDH5,-0.001,-0.024,6.192e-90
CTD-2301A4.3,-0.001,-0.024,0.000e+0
RP11-249O6.2,-0.001,-0.024,0.000e+0
SP2-DT,-0.001,-0.024,0.000e+0
SULT1E1,-0.001,-0.024,8.710e-194
RNU6-97P,-0.001,-0.024,0.000e+0
RP11-115H11.1,-0.001,-0.024,0.000e+0
TMPRSS5,-0.003,-0.024,2.120e-35
EIF4A3,-0.005,-0.024,1.481e-24
LRP10,-0.002,-0.024,2.048e-43
PITPNA-AS1,-0.002,-0.024,2.891e-34
RP5-1029K10.4,-0.001,-0.024,0.000e+0
SPDYE18,-0.001,-0.024,0.000e+0
RBBP8,-0.006,-0.024,6.090e-28
RPL12P20,-0.001,-0.024,0.000e+0
RNU7-35P,-0.001,-0.024,0.000e+0
HNRNPF,-0.006,-0.024,7.308e-23
RBM43,-0.002,-0.024,5.804e-41
RPS6P25,-0.001,-0.024,0.000e+0
RP3-528L19.1,-0.001,-0.024,0.000e+0
RCAN3AS,-0.001,-0.024,0.000e+0
RP11-798G7.5,-0.001,-0.024,3.932e-193
SFTPB,-0.002,-0.024,4.882e-79
AVL9,-0.015,-0.024,2.480e-21
SCARNA13,-0.001,-0.024,0.000e+0
ST13P20,-0.001,-0.024,0.000e+0
CYP4F29P,-0.001,-0.024,0.000e+0
TAF1A,-0.003,-0.024,6.159e-29
ARMCX5-GPRASP2_ENSG00000286237,-0.001,-0.024,0.000e+0
PCDHGB2,-0.001,-0.024,0.000e+0
ASL,-0.003,-0.024,5.027e-27
TAL1,-0.001,-0.024,9.860e-75
RP11-2A4.4,-0.001,-0.024,0.000e+0
RP11-725P16.3,-0.001,-0.024,0.000e+0
MTCO1P42,-0.001,-0.024,0.000e+0
ARPIN,-0.001,-0.024,0.000e+0
DDX12P,-0.001,-0.024,0.000e+0
RP13-516M14.11,-0.001,-0.024,0.000e+0
NT5C1B,-0.001,-0.024,0.000e+0
NR4A2,-0.006,-0.024,1.047e-24
RP11-213G2.5,-0.001,-0.024,0.000e+0
FGF14-AS1,-0.002,-0.024,3.798e-40
LRRC52,-0.001,-0.024,3.288e-106
ARHGAP15-AS1,-0.002,-0.024,4.423e-51
LRP2,-0.003,-0.024,9.211e-29
ZNF597,-0.003,-0.024,1.496e-41
LINC02248,-0.002,-0.024,1.066e-31
CTD-2396E7.9,-0.001,-0.024,0.000e+0
AC079779.4,-0.001,-0.024,0.000e+0
RSPRY1,-0.007,-0.024,5.438e-23
RPL10P16,-0.001,-0.024,0.000e+0
RPL4P7,-0.001,-0.024,0.000e+0
SNORD94,-0.001,-0.024,0.000e+0
RP11-11M20.2,-0.001,-0.024,0.000e+0
ABHD17AP6,-0.001,-0.024,0.000e+0
ZPBP,-0.004,-0.024,4.410e-25
RP1-152L7.5,-0.001,-0.024,0.000e+0
RP11-46A10.5,-0.003,-0.024,4.558e-36
WNT4,-0.003,-0.024,4.118e-33
DDX50P2,-0.001,-0.024,0.000e+0
CENPE,-0.004,-0.024,2.167e-35
TAP2,-0.001,-0.024,0.000e+0
NRBF2,-0.006,-0.024,2.391e-34
GOLGA2P5,-0.001,-0.024,0.000e+0
RNU6-101P,-0.001,-0.024,0.000e+0
ARSLP1,-0.001,-0.024,0.000e+0
ZNF440,-0.004,-0.024,1.531e-27
RP11-117L5.4,-0.001,-0.024,0.000e+0
RP11-158M9.1,-0.002,-0.024,1.254e-34
TBC1D5,-0.023,-0.024,5.422e-17
RNU6-367P,-0.001,-0.024,0.000e+0
RP11-396I22.1,-0.001,-0.024,0.000e+0
RNU6-268P,-0.001,-0.024,0.000e+0
CTD-2583A14.8,-0.001,-0.024,0.000e+0
ANKRD45,-0.003,-0.024,5.993e-31
COL6A2,-0.003,-0.024,1.186e-34
KRT31,-0.002,-0.024,8.760e-46
REM1,-0.001,-0.024,3.570e-138
GARNL3,-0.020,-0.024,2.537e-18
SMPD4P1,-0.001,-0.024,0.000e+0
RP11-57A19.2,-0.002,-0.024,2.752e-56
BOLA2B,-0.001,-0.024,1.171e-269
RNA5SP180,-0.001,-0.024,0.000e+0
DIRAS3,-0.004,-0.024,1.238e-25
SNORD38A,-0.001,-0.024,0.000e+0
EPB41L5,-0.012,-0.024,1.627e-21
TRHR,-0.001,-0.024,6.898e-76
CTA-963H5.5,-0.001,-0.024,0.000e+0
TGIF2P1,-0.001,-0.024,0.000e+0
TP73-AS1,-0.003,-0.024,5.362e-33
ST7-AS1,-0.002,-0.024,8.852e-76
ZNF747,-0.001,-0.024,0.000e+0
PANX3,-0.002,-0.024,3.475e-79
ZXDA,-0.002,-0.024,3.822e-45
KCNK9,-0.006,-0.024,2.951e-26
BMP5,-0.002,-0.024,2.780e-53
RP11-196H14.3,-0.001,-0.025,1.872e-270
RP11-114J13.1,-0.002,-0.025,2.535e-34
RP11-517B11.7,-0.001,-0.025,0.000e+0
ZNF705G,-0.001,-0.025,6.388e-142
RP11-19G24.2,-0.001,-0.025,0.000e+0
IL36B,-0.001,-0.025,3.844e-136
SIRPB3P,-0.001,-0.025,0.000e+0
RP11-21J18.1,-0.001,-0.025,0.000e+0
KB-431C1.5,-0.002,-0.025,6.570e-91
RP11-475C16.1,-0.001,-0.025,0.000e+0
RP11-481A20.11,-0.001,-0.025,0.000e+0
IER3IP1,-0.001,-0.025,7.561e-99
AC005306.3,-0.001,-0.025,0.000e+0
bP-2189O9.2,-0.001,-0.025,0.000e+0
SUGT1P2,-0.001,-0.025,0.000e+0
SMTNL1,-0.002,-0.025,9.053e-83
CA12,-0.006,-0.025,1.732e-28
RP11-588P7.1,-0.001,-0.025,0.000e+0
PTPRS,-0.021,-0.025,3.082e-20
RP11-589P10.5,-0.001,-0.025,0.000e+0
RP5-855D21.2,-0.001,-0.025,0.000e+0
TMEM131,-0.014,-0.025,2.156e-21
RP11-430L3.2,-0.001,-0.025,0.000e+0
DTX2P1,-0.001,-0.025,0.000e+0
RP11-677I18.3,-0.002,-0.025,1.044e-82
PNP,-0.002,-0.025,4.155e-53
MAP7D3,-0.003,-0.025,1.998e-38
SMCO3,-0.001,-0.025,0.000e+0
UBXN7-AS1,-0.001,-0.025,2.756e-297
PRPF38A,-0.005,-0.025,2.862e-26
RAP2C,-0.004,-0.025,8.017e-33
ARFGAP3,-0.008,-0.025,4.707e-24
RP11-337L12.1,-0.001,-0.025,0.000e+0
RPS12P16,-0.001,-0.025,0.000e+0
RP11-552M11.4,-0.001,-0.025,0.000e+0
DNAAF6,-0.001,-0.025,4.641e-130
LINC00868,-0.002,-0.025,1.757e-64
GTF2IP12,-0.001,-0.025,0.000e+0
LINC01085,-0.002,-0.025,5.865e-65
TRAM1L1,-0.003,-0.025,7.378e-33
SIM2,-0.002,-0.025,2.248e-57
BFAR,-0.005,-0.025,5.243e-26
LRRCC1,-0.004,-0.025,5.804e-29
RP11-805J14.3,-0.001,-0.025,0.000e+0
RAD17P2,-0.001,-0.025,0.000e+0
RPS3AP13,-0.001,-0.025,0.000e+0
PRKAR2A-AS1,-0.002,-0.025,3.945e-73
RP11-235E17.4,-0.001,-0.025,0.000e+0
CTB-31N19.3,-0.001,-0.025,0.000e+0
PCED1B-AS1,-0.001,-0.025,0.000e+0
LA16c-425C2.1,-0.001,-0.025,0.000e+0
KCND3-IT1,-0.001,-0.025,0.000e+0
MKLN1-AS,-0.001,-0.025,0.000e+0
MEFV,-0.001,-0.025,2.647e-236
SNORD115-16,-0.001,-0.025,0.000e+0
CTC-548K16.6,-0.001,-0.025,0.000e+0
RP11-369K16.1,-0.001,-0.025,0.000e+0
ANKS1A,-0.014,-0.025,2.081e-20
LINC00620,-0.003,-0.025,2.641e-38
EFNB1,-0.003,-0.025,5.564e-32
CTC-304I17.3,-0.001,-0.025,0.000e+0
FGF12-AS3,-0.002,-0.025,5.292e-74
RP5-901A4.1,-0.002,-0.025,1.315e-86
SAA2,-0.001,-0.025,0.000e+0
NRG1,-0.036,-0.025,1.728e-21
NR4A3,-0.004,-0.025,2.024e-29
NPM1P30,-0.001,-0.025,0.000e+0
LINC01572,-0.008,-0.025,4.489e-24
NRL,-0.003,-0.025,7.297e-36
AP000688.14,-0.001,-0.025,0.000e+0
RP11-651C2.1,-0.001,-0.025,0.000e+0
FAM86FP,-0.001,-0.025,0.000e+0
RP11-236F9.2,-0.001,-0.025,0.000e+0
SNORD109A,-0.002,-0.025,0.000e+0
SUSD3,-0.002,-0.025,1.632e-96
PUDPP2,-0.001,-0.025,0.000e+0
RP4-620P6.1,-0.001,-0.025,0.000e+0
WHAMMP3,-0.001,-0.025,0.000e+0
H3-3B,-0.018,-0.025,3.739e-29
RP11-265I24.1,-0.001,-0.025,0.000e+0
AAK1,-0.023,-0.025,1.322e-17
EXOC6,-0.018,-0.025,6.079e-20
HCAR1,-0.001,-0.025,0.000e+0
NEUROD4,-0.001,-0.025,0.000e+0
TDH,-0.001,-0.025,0.000e+0
AC004054.1,-0.002,-0.025,8.960e-74
DNTTIP2,-0.005,-0.025,3.238e-27
TMED6,-0.001,-0.025,0.000e+0
MS4A8,-0.002,-0.025,2.258e-66
GDI2P2,-0.001,-0.025,0.000e+0
HPYR1,-0.001,-0.025,0.000e+0
ZNF133-AS1,-0.002,-0.025,0.000e+0
ST7-AS2,-0.005,-0.025,1.077e-25
STOML3,-0.002,-0.025,2.909e-81
THRB-AS1,-0.001,-0.025,0.000e+0
ZBTB20-AS2,-0.001,-0.025,1.097e-68
GNA14-AS1,-0.002,-0.025,3.133e-38
CNN2,-0.002,-0.025,1.792e-72
RPL21P32,-0.001,-0.025,0.000e+0
MAMDC4,-0.004,-0.025,1.162e-31
RP11-145A3.2,-0.001,-0.025,0.000e+0
RP11-690G19.4,-0.001,-0.025,0.000e+0
FAM189A1,-0.019,-0.025,1.306e-19
CARD8,-0.004,-0.025,1.546e-30
RP3-425C14.4,-0.001,-0.025,0.000e+0
AF186192.5,-0.001,-0.025,0.000e+0
RP11-74C3.2,-0.001,-0.025,0.000e+0
H2AZ2P1,-0.001,-0.025,0.000e+0
RP11-109D24.1,-0.001,-0.025,0.000e+0
ARF4,-0.008,-0.025,1.951e-24
RNU7-125P,-0.001,-0.025,0.000e+0
KIAA0087,-0.001,-0.025,0.000e+0
RP11-889L3.1,-0.001,-0.025,0.000e+0
TP53I11,-0.007,-0.025,1.294e-25
BAZ2B,-0.020,-0.025,1.379e-21
LA16c-306E5.3,-0.001,-0.025,0.000e+0
RP11-272P10.2,-0.001,-0.025,0.000e+0
AC093690.1,-0.001,-0.025,0.000e+0
CSNK1A1P1,-0.001,-0.025,0.000e+0
DEPDC1P1,-0.001,-0.025,0.000e+0
PCDHGB4,-0.001,-0.025,0.000e+0
POTEM,-0.001,-0.025,1.843e-116
FOXN4,-0.002,-0.025,4.458e-100
LINC01351,-0.002,-0.025,2.548e-80
RP11-125B2.1,-0.001,-0.025,0.000e+0
IMPA2,-0.003,-0.025,1.935e-38
PKD1P1,-0.001,-0.025,0.000e+0
IL10RB,-0.004,-0.025,8.776e-31
RP11-361H10.3,-0.001,-0.025,0.000e+0
TPPP2,-0.002,-0.025,0.000e+0
RP11-638I2.2,-0.001,-0.025,0.000e+0
KCNJ13,-0.002,-0.025,1.588e-117
AC016903.2,-0.002,-0.025,4.800e-54
ARF5,-0.008,-0.025,1.323e-23
HHATL,-0.001,-0.025,0.000e+0
RP11-573N10.1,-0.001,-0.025,0.000e+0
CTD-2363C16.1,-0.001,-0.025,0.000e+0
EDEM2,-0.004,-0.025,1.556e-30
RP11-434P11.2,-0.002,-0.025,9.536e-187
RP11-54O7.1,-0.001,-0.025,0.000e+0
VN1R1,-0.001,-0.025,0.000e+0
RP11-187K14.1,-0.001,-0.025,0.000e+0
MFAP2,-0.001,-0.025,7.057e-231
CSPG4P12,-0.001,-0.025,0.000e+0
WASF3-AS1,-0.002,-0.025,1.760e-49
ZP2,-0.002,-0.025,3.765e-74
RP4-768P8.2,-0.001,-0.025,0.000e+0
XYLT2,-0.007,-0.025,8.383e-37
CHL1-AS1,-0.002,-0.025,1.089e-65
ONECUT1,-0.002,-0.025,2.657e-75
TOR4A,-0.002,-0.026,2.246e-259
COX6A1P2,-0.001,-0.026,0.000e+0
CDK19,-0.015,-0.026,4.908e-23
SP5,-0.002,-0.026,1.094e-184
TMEM265,-0.001,-0.026,0.000e+0
KB-1208A12.3,-0.002,-0.026,6.927e-81
LINC01797,-0.001,-0.026,0.000e+0
RP11-701H24.3,-0.002,-0.026,3.682e-65
RP11-23P13.6,-0.001,-0.026,0.000e+0
LINC02244,-0.002,-0.026,0.000e+0
EFL1P1,-0.001,-0.026,0.000e+0
WWTR1-AS1,-0.001,-0.026,1.515e-289
DDX19A,-0.005,-0.026,2.152e-28
RP11-753C18.13,-0.001,-0.026,0.000e+0
MBD3L1,-0.002,-0.026,1.139e-82
HLA-F-AS1,-0.001,-0.026,0.000e+0
